Date,Mean maximum (ºC),Mean(ºC),Mean minimum(ºC),Mean relative humidity (%),Insolation duration (hour),Total rainfall (mm)
1999/1/1,21.8,18.5,16.2,74,7,0
1999/1/2,18.3,16,12.9,69,7.8,0
1999/1/3,18.7,15.7,12.1,67,9,0
1999/1/4,20.3,16.8,13.1,59,9.3,0
1999/1/5,21.4,16.5,13.5,65,9.4,0
1999/1/6,20.8,16.7,12.8,60,9,0
1999/1/7,18,15.6,12.5,47,8.7,0
1999/1/8,17.2,14,10.8,57,7.3,0
1999/1/9,17,15,12.9,71,1.2,0
1999/1/10,16.6,14.9,12.9,63,2.3,0
1999/1/11,15.3,14,12.3,56,0.3,0
1999/1/12,13.3,8.7,6.9,86,0,3.4
1999/1/13,10.7,9,6.9,90,0,3
1999/1/14,12.4,10.6,8.6,88,0,0.2
1999/1/15,11.9,9.6,6.8,66,0,0
1999/1/16,13.4,11.1,7.7,54,1,0
1999/1/17,15.4,12.4,9.6,62,0,1
1999/1/18,16.4,13.5,9.6,81,0,0
1999/1/19,24.1,18.2,13.4,77,7.8,0
1999/1/20,19.6,17.3,14.4,83,0,0
1999/1/21,17.9,15.6,12.7,76,0.4,0
1999/1/22,20.4,17.4,14,79,0,0
1999/1/23,22.7,19.1,15.4,87,0.1,1
1999/1/24,25.8,20.9,17.5,85,7.9,0
1999/1/25,25,20.3,17.7,85,2.8,0
1999/1/26,21.5,18.9,16.5,83,9.3,0
1999/1/27,23,19,16.1,81,9.2,0
1999/1/28,26,21.1,18.4,83,8.7,0
1999/1/29,22.4,18.8,17.2,82,1.5,0
1999/1/30,20.7,18.4,15.9,78,8.7,0
1999/1/31,22.7,19.5,17,85,1.2,0
1999/2/1,25,21.6,18.5,86,6.2,0
1999/2/2,21.8,18.8,16,61,8.2,0
1999/2/3,18,15.8,12.6,35,9.4,0
1999/2/4,17.7,14.4,10.5,38,9.4,0
1999/2/5,19.1,15.3,12,61,8.9,0
1999/2/6,20.6,16.2,13.3,64,9.5,0
1999/2/7,22,17.1,13.5,73,9.4,0
1999/2/8,23,17.8,14.5,75,9,0
1999/2/9,22.4,18.3,15,74,9.5,0
1999/2/10,24.3,19.8,17,74,5,0
1999/2/11,25.4,21.4,17.6,70,7.2,0
1999/2/12,22,18.4,15.9,60,7.2,0
1999/2/13,21.2,17,14.6,72,7.7,0
1999/2/14,21.5,17.5,15.3,72,7.8,0
1999/2/15,22.7,18.5,15.1,76,9.1,0
1999/2/16,24.9,19.5,16.7,80,8,0
1999/2/17,22.4,19.6,17.6,85,3.2,0
1999/2/18,25.2,20.7,17.2,77,8.1,0
1999/2/19,17.4,15.1,13,64,0,0
1999/2/20,13.7,12,10.5,52,0,0
1999/2/21,14.2,11.7,10,58,0.6,0
1999/2/22,19.8,15,10.7,69,8.3,0
1999/2/23,22.5,18,14.4,82,4.5,0
1999/2/24,25.3,20,15.7,81,9.4,0
1999/2/25,23.6,20.2,17.5,88,2.9,0
1999/2/26,25.2,21.3,18.9,88,5.1,0
1999/2/27,27.1,21.8,18,82,5.1,0
1999/2/28,22,18.5,17.1,78,4.6,0
1999/3/1,23.5,19.5,16.8,75,8.6,0
1999/3/2,23.7,20.2,18,85,5.2,0.01
1999/3/3,25.6,21.3,18.3,85,8.5,0
1999/3/4,24.8,21.2,19,86,9.3,0
1999/3/5,25.6,21.6,18.8,84,8.2,0
1999/3/6,25.4,22.1,19.5,89,5.8,0
1999/3/7,26.7,22.8,20.6,86,3.6,0.01
1999/3/8,22.3,20.1,18.9,91,0,0.01
1999/3/9,22.5,20.9,19.4,94,0,0
1999/3/10,22.9,19.4,13.6,93,0,0.6
1999/3/11,14,12.9,11.7,86,0,0.6
1999/3/12,13.6,12.8,11.6,96,0,0.4
1999/3/13,14.7,13.8,12.8,97,0,1
1999/3/14,15.4,14.6,13.5,96,0,0.6
1999/3/15,18.4,15.8,14.1,76,0.5,0
1999/3/16,19.1,16.6,14.5,83,0,0.01
1999/3/17,22.4,19.8,17.9,94,0,5.2
1999/3/18,26.3,24.2,22,94,2.2,0.4
1999/3/19,26.3,24.5,23.1,92,0.1,0.01
1999/3/20,27.4,24.2,22,94,0.1,0.01
1999/3/21,23.4,16.8,11.8,96,0,30.2
1999/3/22,13.5,12.2,10.5,90,0,1.4
1999/3/23,16.4,14.7,12.4,95,0,0.8
1999/3/24,21.6,19.2,15.2,95,0,0.2
1999/3/25,24.1,21.9,19.7,95,0,0.01
1999/3/26,27.6,24.5,22,93,1.9,0
1999/3/27,28.6,24.8,22,90,6.8,1.6
1999/3/28,22.4,20,18.7,85,0,0.01
1999/3/29,20.2,17.7,14.2,91,0,3.2
1999/3/30,21.8,17.2,13.6,76,7.8,0
1999/3/31,23.6,19.9,15.8,78,10.7,0.01
1999/4/1,26.5,22.2,19,84,8.3,0.6
1999/4/2,29,24.2,21.4,79,4.6,0
1999/4/3,23.6,20.2,18.9,81,0,0.8
1999/4/4,22.4,19.7,18,82,0,0
1999/4/5,23.6,20.4,17,68,8.8,0.01
1999/4/6,26.6,22.3,18.5,60,10.5,0
1999/4/7,26.6,22.9,20.1,67,10,0
1999/4/8,25.1,22.6,20.3,83,3.3,0.01
1999/4/9,28.2,24.3,21.7,86,4.6,0
1999/4/10,29.2,24.9,22.2,85,6.7,0
1999/4/11,24.7,23.7,22.3,90,0,0.4
1999/4/12,27.7,24.3,22.2,92,2.9,55.8
1999/4/13,28.8,24.7,22.4,86,9.1,0
1999/4/14,22.6,21.8,20.7,79,0,0
1999/4/15,23.7,22.3,20.8,86,0,1.2
1999/4/16,27.7,24.7,22.6,88,2.1,0.01
1999/4/17,27.4,25.7,24.3,94,1.1,0
1999/4/18,29.8,26.9,25.6,89,5.3,0
1999/4/19,26.3,24.2,22.2,91,1.5,20.6
1999/4/20,27.3,24.6,23.1,90,3.4,0.01
1999/4/21,27.6,24.4,21.3,89,5.6,13.8
1999/4/22,28.8,24.7,21.5,86,4.2,0.01
1999/4/23,29.6,26.4,24.1,88,8.2,0
1999/4/24,29.4,26.8,25.3,88,2.5,0.01
1999/4/25,30,27,25.4,87,8.5,0
1999/4/26,30.5,27.2,25,85,11,0
1999/4/27,25.4,24,22,84,0.2,0.8
1999/4/28,25.6,22.9,20.6,73,0.8,0.01
1999/4/29,22.3,20.3,18.6,86,0,30.4
1999/4/30,22.8,21.3,19.4,80,0,7
1999/5/1,24,22.1,20.3,82,0.2,11.8
1999/5/2,26.7,23.8,21.6,78,0.7,0
1999/5/3,29.8,25.3,22.6,80,8.2,0
1999/5/4,30.3,26.2,23.5,82,8.2,0.2
1999/5/5,25.1,21.4,19.9,91,0,14.8
1999/5/6,21,19.5,17.3,90,0,12.4
1999/5/7,24.5,20.8,17.6,77,0.2,1.6
1999/5/8,21.3,19.4,17.9,94,0,22.4
1999/5/9,20.3,19,17.3,94,0,22.2
1999/5/10,27.3,22.6,18.4,80,8.9,0
1999/5/11,29.8,24.6,20.5,77,10.5,0
1999/5/12,27.8,24.7,22.9,85,2.5,0
1999/5/13,28.5,24.9,22.5,84,5.5,0
1999/5/14,28.8,25.3,23.1,84,4.7,0.01
1999/5/15,28.4,25.4,23.7,89,0.8,0.01
1999/5/16,27.5,26,24.6,91,2.5,0.4
1999/5/17,29.6,27,25.7,88,8.5,0.4
1999/5/18,29.8,26.8,24.2,83,6.2,3
1999/5/19,25.1,23.4,22.5,93,0,58.4
1999/5/20,25.8,24.2,23.1,80,0.4,0.01
1999/5/21,25.7,24.4,23.9,85,0.1,0.01
1999/5/22,28.8,26.2,24.3,90,3.8,0
1999/5/23,29.4,26.6,24.8,91,6.3,0
1999/5/24,30.2,27.5,25.9,87,5.4,0
1999/5/25,28.7,27.2,26.4,88,2.1,0.01
1999/5/26,29.3,27.3,23.9,88,2.5,2
1999/5/27,24.4,23.2,21.5,91,0,20.4
1999/5/28,23.2,22.2,20.5,84,0,3.8
1999/5/29,23.1,22.5,21.7,84,0,0.01
